variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,postprocess_mode,postprocess_reason,postprocess_improved,postprocess_selected_cost,postprocess_time,plot_path
large_map_large_gap,APF,True,64.40944337291613,312,0.22030425071716309,0.22030425071716309,,,feng,,True,,0.41832494735717773,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,76.90665237480901,1148,0.4080500602722168,0.4100503921508789,,,feng,feng_fallback_to_stomp,False,,1.5611929893493652,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_large_map_large_gap.png
large_map_large_gap,D-Hybrid A*,True,60.75498998650116,248,0.0763552188873291,0.07735633850097656,,,feng,,True,,0.4194028377532959,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,True,62.475632710193125,166,0.05125617980957031,0.05125617980957031,,shrink_step_time;reduce_goal_bias,feng,,True,,0.41469717025756836,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,67.79879631077326,323,0.20917510986328125,0.20917510986328125,,escape_step,feng,feng_fallback_to_stomp,False,,1.2559285163879395,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,73.00376006185101,888,0.3089733123779297,0.3110694885253906,,,feng,,True,,0.4243149757385254,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_large_map_small_gap.png
large_map_small_gap,D-Hybrid A*,True,64.97027922726808,331,0.09367084503173828,0.09467244148254395,,,feng,feng_fallback_to_stomp,False,,1.729705810546875,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,True,76.15897848085227,743,0.5008578300476074,0.5008578300476074,,shrink_step_time;reduce_goal_bias,feng,feng_fallback_to_stomp,False,,1.323742389678955,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,21.455333865537682,100,0.03299832344055176,0.03299832344055176,,,feng,,False,,0.3631765842437744,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,25.057931392035513,534,0.16602802276611328,0.16702866554260254,,,feng,,True,,0.3754458427429199,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_small_map_large_gap.png
small_map_large_gap,D-Hybrid A*,True,21.921203461444787,159,0.045195817947387695,0.045195817947387695,,,feng,,True,,0.4136173725128174,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,True,23.293595509554034,84,0.023914337158203125,0.023914337158203125,,shrink_step_time;reduce_goal_bias,feng,,False,,0.3202030658721924,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,24.34882766946127,116,0.03324103355407715,0.03324103355407715,,,feng,feng_fallback_to_stomp,False,,0.5667464733123779,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_small_map_small_gap.png
small_map_small_gap,Hybrid A*,True,27.373606890116097,408,0.1260979175567627,0.1260979175567627,,,feng,feng_fallback_to_stomp,False,,0.7004439830780029,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_small_map_small_gap.png
small_map_small_gap,D-Hybrid A*,True,24.102821510472246,1605,0.5701427459716797,0.5731551647186279,,downweight_dqn;expand_dqn_top_k;force_anchor_cooldown;force_anchor_cooldown;force_anchor_cooldown,feng,,False,,0.3454780578613281,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_small_map_small_gap.png
small_map_small_gap,Informed RRT*,True,22.449442389100117,517,0.3355214595794678,0.3355214595794678,,shrink_step_time;reduce_goal_bias,feng,,False,,0.3235759735107422,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153204\dense_forest_small_map_small_gap.png
